ARBID decimal,ARBID hex,ARBID name,Diag ID decimal,Diag ID hex,Module
0,0x00,unbekannt,0,0x00,Sender unbekannt
949,0x3B5,Status Wasserventil [6],120,0x78,IHKA
957,0x3BD,Status Verbraucherabschaltung [2],114,0x72,KBM
250,0xFA,Steuerung Fensterheber FAT [10],0,0x0,KGM
251,0xFB,Steuerung Fensterheber BFT [5],0,0x0,KGM
252,0xFC,Steuerung Fensterheber FATH [5],114,0x72,KBM
253,0xFD,Steuerung Fensterheber BFTH [5],114,0x72,KBM
168,0xA8,Drehmoment 1 K-CAN [10],18,0x12,DME1/DDE1
169,0xA9,Drehmoment 2 (10),18,0x12,DME1/DDE1
170,0xAA,Drehmoment 3 K-CAN [10],18,0x12,DME1/DDE1
172,0xAC,Radmoment Antriebsstrang 2 [5],18,0x12,DME1/DDE1
173,0xAD,Verzögerungsanforderung ACC [9],28,0x1C,LDM
173,0xAD,Verzögerungsanforderung ACC [9],33,0x21,ACC_Modul/ACC+NAVI
179,0xB3,Steuerung Lenkunterstützung [2],22,0x16,AFS
180,0xB4,Radmoment Antriebsstrang 1 [4],18,0x12,DME1/DDE1
181,0xB5,Drehmomentanforderung EGS [9],24,0x18,EGS_MECH+NAVI/EGS_MECH
182,0xB6,Drehmomentanforderung DSC [7],41,0x29,DXC_RB/DSC_RB/DSC_CT
183,0xB7,Drehmomentanforderung ACC [10],28,0x1C,LDM
183,0xB7,Drehmomentanforderung ACC [10],33,0x21,ACC_Modul/ACC+NAVI
184,0xB8,Drehmomentanforderung DKG [2],24,0x18,DKG
185,0xB9,Drehmomentanforderung AFS [3],22,0x16,AFS
186,0xBA,Getriebedaten [20],24,0x18,SMG_M/SMG/EGS_MECH+NAVI/EGS_MECH/DKG
187,0xBB,Sollmomentanforderung [7],41,0x29,DXC_RB
188,0xBC,Status Sollmomentumsetzung [7],25,0x19,VGSG
189,0xBD,Drehmomentanforderung SSG [6],24,0x18,SMG_M/SMG
190,0xBE,Alive Zähler [12],35,0x23,ARS_Modul
191,0xBF,Anforderung Radmoment Antriebsstrang [6],28,0x1C,LDM
192,0xC0,Alive Zentrales Gateway [1],0,0x0,KGM
193,0xC1,Alive Zähler Telefon [3],54,0x36,TEL_JAP/TEL_BPI
196,0xC4,Lenkradwinkel K-CAN [13],41,0x29,DXC_RB/DSC_RB/DSC_CT
200,0xC8,Lenkradwinkel Oben K-CAN [6],2,0x2,SZL_LWS
206,0xCE,Radgeschwindigkeit K-CAN [4],41,0x29,DXC_RB/DSC_RB/DSC_CT
210,0xD2,Bedienung Sitzverstellung BF [6],101,0x65,SZM_MIT_KBUS/SZM
213,0xD5,Anforderung Radmoment Bremse [6],28,0x1C,LDM
215,0xD7,Alive Zähler Sicherheit [2],1,0x1,ACSM
218,0xDA,Bedienung Sitzverstellung FA [6],101,0x65,SZM_MIT_KBUS/SZM
225,0xE1,Radmoment Bremse [3],41,0x29,DXC_RB/DSC_RB
226,0xE2,Status Zentralverriegelung BFT [11],0,0x0,KGM
230,0xE6,Status Zentralverriegelung BFTH [11],114,0x72,KBM
234,0xEA,Status Zentralverriegelung FAT [11],0,0x0,KGM
238,0xEE,Status Zentralverriegelung FATH [11],114,0x72,KBM
242,0xF2,Status Zentralverriegelung HK [13],114,0x72,KBM
246,0xF6,Steuerung Außenspiegel [9],0,0x0,KGM
304,0x130,Klemmenstatus [19],64,0x40,CAS
309,0x135,Steuerung Crashabschaltung EKP [1],1,0x1,ACSM
351,0x15F,Anforderung Winkel FFP [6],28,0x1C,LDM
370,0x172,Quittierung Anforderung Kombi [1],98,0x62,M_ASK/CCC_GW
400,0x190,Anzeige ACC [13],28,0x1C,LDM
400,0x190,Anzeige ACC [13],33,0x21,ACC_Modul/ACC+NAVI
402,0x192,Bedienung Getriebewahlschalter [16],2,0x2,SZL_LWS
403,0x193,Anzeige ACC DCC [4],28,0x1C,LDM
404,0x194,Bedienung Tempomat/ACC [13],2,0x2,SZL_LWS
408,0x198,Bedienung Getriebewahlschalter 2 [2],94,0x5E,GWS
